x,y
0.433428687,1.059004601
0.815369547,0.176162709
-1.009144344,0.033217567
-0.466123694,0.504399476
0.414657631,-0.449139988
0.364767677,0.080611912
-0.352710918,-1.368473248
0.698559292,-0.040635555
-0.186527207,1.111018989
-1.148233584,0.493315847
0.172375286,-1.318916002
-0.724435005,1.141508757
-1.236891653,-0.066274099
-0.068800942,-0.03270185
-0.45752656,1.700304186
0.32618325,-0.883894394
0.708756205,0.033711966
-1.535927635,1.575881325
1.228911763,-0.379804153
0.895042559,-0.040594318
-0.536094831,0.544832328
-1.340048091,0.338358532
0.50708699,0.776182861
-1.663796128,1.992993436
-0.1089885,-1.642988978
-0.309112563,-1.203778225
-0.881926505,0.012102865
1.149814808,-1.530071619
0.802646854,0.292727433
-1.658917162,-0.367213792
0.059386081,0.750253013
-0.571330817,0.691725703
0.231012437,-1.914748006
-1.584772129,0.353232143
-0.691207118,0.567003348
0.977597412,-1.837674096
0.774163545,-0.621739731
0.103335518,-0.432086468
2.716573168,-2.083739848
1.077463619,-2.45524117
-0.700241603,1.629548114
0.839302553,-0.989021112
0.65754744,-0.893327041
-0.579563145,1.578812993
1.17688664,-0.820982971
1.560125528,-2.535924025
-1.415753338,1.704514897
-0.038447988,0.386290406
1.854025537,-1.776517615
-0.174318009,-0.231255802
-0.521799025,1.3534444
-0.704450447,1.251283112
1.919433614,-0.597102205
0.234765069,0.223734939
0.277301746,-0.227117549
2.348767303,-1.006299688
0.797206777,0.744460094
-0.697249988,0.771489246
2.073313023,-1.66523383
0.289756098,-0.210039787
0.468414446,-1.886336437
-1.476302315,0.554963492
1.213059481,-1.649835924
-0.136936395,0.97357828
0.028311496,1.086816902
-0.986813767,-0.475092323
-1.666349117,0.669253846
-0.750168199,1.43914286
0.028174919,1.145820247
-0.257428087,0.317506472
-0.46683805,-0.489459668
-0.808808828,0.859662712
-0.461160701,0.714426692
1.278423055,-1.407625366
1.30656857,1.009020511
-0.827947274,0.43890035
0.224481749,1.849154636
-0.253176608,1.198927073
0.410686173,-1.242282725
-0.607775354,0.165058368
1.485916994,0.697326686
0.380970483,-1.26079461
-0.662566538,-0.887182587
-0.564569667,0.253471133
-0.449391609,0.945822016
1.48251996,-0.860220936
1.042862444,-0.566409097
-0.239435816,0.631985092
1.407405824,-0.990217137
-0.233595365,0.544743956
-0.054398335,-0.106540783
-1.252323906,2.09902251
0.920179021,-1.081316426
1.615865644,-0.990673055
1.232988194,-2.638076277
0.202246886,-0.076467463
0.391932556,-0.711126472
2.067125339,-2.331973837
0.350932005,-1.186629979
0.319283084,0.317814735
-0.669078114,-0.494824285
-0.590598194,1.060659962
0.808950861,0.359288667
1.756157789,0.251424554
1.546431763,-1.294602686
