x,y
0.381109886,0.381109886
1.122838255,1.122838255
-1.696743202,-1.696743202
0.183474518,0.183474518
1.31551797,1.31551797
-0.237013504,-0.237013504
0.215720192,0.215720192
0.280631235,0.280631235
-0.566626891,-0.566626891
-1.006484224,-1.006484224
0.457090336,0.457090336
-0.49850656,-0.49850656
-1.89270105,-1.89270105
-0.016106715,-0.016106715
0.68566464,0.68566464
0.658411365,0.658411365
-0.277828508,-0.277828508
0.695428303,0.695428303
-0.506668768,-0.506668768
0.038794997,0.038794997
-0.861664188,-0.861664188
-1.30776821,-1.30776821
0.958091539,0.958091539
-1.120196303,-1.120196303
1.058760107,1.058760107
-0.332377232,-0.332377232
1.517196085,1.517196085
0.047830018,0.047830018
-0.590121201,-0.590121201
0.931960877,0.931960877
0.114570357,0.114570357
-1.033855917,-1.033855917
0.376797,0.376797
-0.539179435,-0.539179435
1.3771337,1.3771337
-0.488691759,-0.488691759
-0.325459504,-0.325459504
0.458395373,0.458395373
-0.312206776,-0.312206776
0.205188088,0.205188088
1.091098304,1.091098304
1.069808531,1.069808531
0.791607217,0.791607217
0.525192198,0.525192198
-0.260338261,-0.260338261
2.239358541,2.239358541
1.345639655,1.345639655
0.265272872,0.265272872
0.963482894,0.963482894
-0.360100279,-0.360100279
-0.472380755,-0.472380755
0.064155234,0.064155234
0.34061055,0.34061055
-0.998724289,-0.998724289
-1.483081607,-1.483081607
1.218747479,1.218747479
1.305863833,1.305863833
-0.784000578,-0.784000578
1.547734929,1.547734929
0.424772255,0.424772255
-1.139033897,-1.139033897
-0.649128548,-0.649128548
-0.279073344,-0.279073344
0.162294443,0.162294443
-1.413592455,-1.413592455
0.97306907,0.97306907
0.782199767,0.782199767
-0.361615538,-0.361615538
0.06350632,0.06350632
0.261284489,0.261284489
2.091977446,2.091977446
-0.106355333,-0.106355333
-0.749969385,-0.749969385
1.533482844,1.533482844
-0.752626428,-0.752626428
0.310817113,0.310817113
1.348065951,1.348065951
-0.359529519,-0.359529519
